tanggal ;gram ; harga 
13/06/2024;1;1.341.000,00
14/06/2024;1;1.333.000,00
15/06/2024;1;1.347.000,00
16/06/2024;1;1.347.000,00
17/06/2024;1;1.344.000,00
18/06/2024;1;1.342.000,00
19/06/2024;1;1.349.000,00
20/06/2024;1;1.355.000,00
21/06/2024;1;1.371.000,00
22/06/2024;1;1.357.000,00
23/06/2024;1;1.357.000,00
24/06/2024;1;1.360.000,00
25/06/2024;1;1.325.000,00
26/06/2024;1;1.325.000,00
27/06/2024;1;1.327.000,00
28/06/2024;1;1.360.000,00
29/06/2024;1;1.365.000,00
30/06/2024;1;1.365.000,00
01/07/2024;1;1.363.000,00
02/07/2024;1;1.368.000,00
03/07/2024;1;1.365.000,00
04/07/2024;1;1.378.000,00
05/07/2024;1;1.383.000,00
06/07/2024;1;1.395.000,00
07/07/2024;1;1.395.000,00
08/07/2024;1;1.396.000,00
09/07/2024;1;1.389.000,00
10/07/2024;1;1.380.000,00
11/07/2024;1;1.386.000,00
12/07/2024;1;1.338.000,00
13/07/2024;1;1.400.000,00
14/07/2024;1;1.400.000,00
15/07/2024;1;1.399.000,00
16/07/2024;1;1.403.000,00
17/07/2024;1;1.420.000,00
18/07/2024;1;1.427.000,00
19/07/2024;1;1.419.000,00
20/07/2024;1;1.404.000,00
21/07/2024;1;1.404.000,00
22/07/2024;1;1.404.000,00
23/07/2024;1;1.404.000,00
24/07/2024;1;1.406.000,00
25/07/2024;1;1.400.000,00
26/07/2024;1;1.386.000,00
27/07/2024;1;1.396.000,00
28/07/2024;1;1.396.000,00
29/07/2024;1;1.402.000,00
30/07/2024;1;1.400.000,00
31/07/2024;1;1.412.000,00
01/08/2024;1;1.433.000,00
02/08/2024;1;1.431.000,00
03/08/2024;1;1.428.000,00
04/08/2024;1;1.428.000,00
05/08/2024;1;1.420.000,00
06/08/2024;1;1.413.000,00
07/08/2024;1;1.399.000,00
08/08/2024;1;1.399.000,00
09/08/2024;1;1.409.000,00
10/08/2024;1;1.401.000,00
11/08/2024;1;1.401.000,00
12/08/2024;1;1.401.000,00
13/08/2024;1;1.419.000,00
14/08/2024;1;1.419.000,00
15/08/2024;1;1.414.000,00
16/08/2024;1;1.404.000,00
17/08/2024;1;1.418.000,00
18/08/2024;1;1.418.000,00
19/08/2024;1;1.418.000,00
20/08/2024;1;1.419.000,00
21/08/2024;1;1.415.000,00
22/08/2024;1;1.410.000,00
23/08/2024;1;1.404.500,00
24/08/2024;1;1.420.000,00
25/08/2024;1;1.420.000,00
26/08/2024;1;1.420.000,00
27/08/2024;1;1.420.000,00
28/08/2024;1;1.410.000,00
29/08/2024;1;1.412.000,00
30/08/2024;1;1.413.000,00
31/08/2024;1;1.401.000,00
01/09/2024;1;1.401.000,00
02/09/2024;1;1.401.000,00
03/09/2024;1;1.404.000,00
04/09/2024;1;1.406.000,00
05/09/2024;1;1.409.000,00
06/09/2024;1;1.414.000,00
07/09/2024;1;1.405.000,00
08/09/2024;1;1.405.000,00
09/09/2024;1;1.398.000,00
10/09/2024;1;1.399.000,00
11/09/2024;1;1.401.000,00
12/09/2024;1;1.409.000,00
13/09/2024;1;1.429.000,00
14/09/2024;1;1.439.000,00
15/09/2024;1;1.439.000,00
16/09/2024;1;1.443.000,00
17/09/2024;1;1.444.000,00
18/09/2024;1;1.440.000,00
19/09/2024;1;1.430.000,00
20/09/2024;1;1.443.000,00
21/09/2024;1;1.455.000,00
22/09/2024;1;1.455.000,00
23/09/2024;1;1.455.000,00
24/09/2024;1;1.443.000,00
25/09/2024;1;1.463.000,00
26/09/2024;1;1.461.000,00
27/09/2024;1;1.461.000,00
28/09/2024;1;1.461.000,00
29/09/2024;1;1.461.000,00
30/09/2024;1;1.464.000,00
01/10/2024;1;1.452.000,00
02/10/2024;1;1.464.000,00
03/10/2024;1;1.469.000,00
04/10/2024;1;1.471.000,00
05/10/2024;1;1.482.000,00
